Category: Politics

Day,Geo: Australia
2016-12-01,12
2016-12-02,11
2016-12-03,11
2016-12-04,16
2016-12-05,15
2016-12-06,13
2016-12-07,11
2016-12-08,11
2016-12-09,11
2016-12-10,9
2016-12-11,11
2016-12-12,11
2016-12-13,11
2016-12-14,10
2016-12-15,11
2016-12-16,10
2016-12-17,10
2016-12-18,11
2016-12-19,12
2016-12-20,12
2016-12-21,10
2016-12-22,10
2016-12-23,9
2016-12-24,8
2016-12-25,8
2016-12-26,8
2016-12-27,8
2016-12-28,9
2016-12-29,9
2016-12-30,10
2016-12-31,9
2017-01-01,11
2017-01-02,9
2017-01-03,10
2017-01-04,12
2017-01-05,10
2017-01-06,11
2017-01-07,9
2017-01-08,11
2017-01-09,11
2017-01-10,11
2017-01-11,12
2017-01-12,12
2017-01-13,12
2017-01-14,11
2017-01-15,12
2017-01-16,13
2017-01-17,13
2017-01-18,12
2017-01-19,14
2017-01-20,22
2017-01-21,22
2017-01-22,19
2017-01-23,15
2017-01-24,14
2017-01-25,12
2017-01-26,11
2017-01-27,13
2017-01-28,12
2017-01-29,13
2017-01-30,13
2017-01-31,15
2017-02-01,13
2017-02-02,14
2017-02-03,13
2017-02-04,13
2017-02-05,16
2017-02-06,16
2017-02-07,15
2017-02-08,15
2017-02-09,15
2017-02-10,14
2017-02-11,13
2017-02-12,14
2017-02-13,14
2017-02-14,15
2017-02-15,18
2017-02-16,15
2017-02-17,14
2017-02-18,12
2017-02-19,15
2017-02-20,15
2017-02-21,15
2017-02-22,15
2017-02-23,17
2017-02-24,15
2017-02-25,13
2017-02-26,15
2017-02-27,16
2017-02-28,16
2017-03-01,15
2017-03-02,16
2017-03-03,15
2017-03-04,14
2017-03-05,16
2017-03-06,16
2017-03-07,17
2017-03-08,19
2017-03-09,20
2017-03-10,27
2017-03-11,100
2017-03-12,33
2017-03-13,22
2017-03-14,19
2017-03-15,21
2017-03-16,20
2017-03-17,14
2017-03-18,14
2017-03-19,15
2017-03-20,15
2017-03-21,15
2017-03-22,14
2017-03-23,14
2017-03-24,14
2017-03-25,13
2017-03-26,14
2017-03-27,14
2017-03-28,14
2017-03-29,14
2017-03-30,13
2017-03-31,11
2017-04-01,11
2017-04-02,12
2017-04-03,15
2017-04-04,13
2017-04-05,13
2017-04-06,13
2017-04-07,15
2017-04-08,19
2017-04-09,13
2017-04-10,12
2017-04-11,12
2017-04-12,12
2017-04-13,11
2017-04-14,11
2017-04-15,10
2017-04-16,12
2017-04-17,11
2017-04-18,15
2017-04-19,17
2017-04-20,15
2017-04-21,14
2017-04-22,15
2017-04-23,27
2017-04-24,21
2017-04-25,15
2017-04-26,15
2017-04-27,14
2017-04-28,13
2017-04-29,11
2017-04-30,14
2017-05-01,15
2017-05-02,14
2017-05-03,15
2017-05-04,15
